name,mac
sh_xiaoyi-1,04:E6:76:1C:09:27
sh_xiaoyi-2,04:E6:76:12:84:DA
sh_xiaoyi-3,04:E6:76:00:9A:62
sh_xiaoyi-4,04:E6:76:10:44:BC
sh_xiaoyi-5,04:E6:76:35:B8:F8
sh_xiaoyi-6,04:E6:76:45:95:58
sh_xiaoyi-7,04:E6:76:11:37:0D
sh_xiaoyi-8,04:E6:76:05:39:93
sh_xiaoyi-9,04:E6:76:10:1E:F4
sh_xiaoyi-10,04:E6:76:28:09:92
sh_xiaoyi-11,04:E6:76:13:CC:7D
sh_xiaoyi-12,04:E6:76:40:C5:9F
sh_xiaoyi-13,04:E6:76:08:3E:83
sh_xiaoyi-14,04:E6:76:09:BD:A9
sh_xiaoyi-15,04:E6:76:2B:C6:88
sh_xiaoyi-16,04:E6:76:18:35:97
sh_xiaoyi-17,04:E6:76:27:1C:11
sh_xiaoyi-18,04:E6:76:23:13:86
sh_xiaoyi-19,04:E6:76:46:52:ED
sh_xiaoyi-20,04:E6:76:51:3B:EE
sh_xiaoyi-21,04:E6:76:0D:B4:D3
sh_xiaoyi-22,04:E6:76:49:EF:C8
sh_xiaoyi-23,04:E6:76:13:6B:1C
sh_xiaoyi-24,04:E6:76:4C:B4:82
sh_xiaoyi-25,04:E6:76:46:61:E7
sh_xiaoyi-26,04:E6:76:01:69:5C
sh_xiaoyi-27,04:E6:76:52:E6:F3
sh_xiaoyi-28,04:E6:76:24:36:05
sh_xiaoyi-30,04:E6:76:04:9C:DE
sh_xiaoyi-31,04:E6:76:29:7E:6E
sh_xiaoyi-32,04:E6:76:2F:77:9C
sh_xiaoyi-33,04:E6:76:11:91:CF
tpe_xiaoyi-1,04:E6:76:21:AF:EC
tpe_xiaoyi-2,04:E6:76:4A:2E:96
tpe_xiaoyi-3,04:E6:76:06:9E:FD
tpe_xiaoyi-4,04:E6:76:51:49:79
tpe_xiaoyi-5,04:E6:76:04:CB:B0
tpe_xiaoyi-6,04:E6:76:33:BA:3C
tpe_xiaoyi-7,04:E6:76:3F:1B:F8
tpe_xiaoyi-8,04:E6:76:06:B8:8F
tpe_xiaoyi-9,04:E6:76:1B:D0:D7
tpe_xiaoyi-10,04:E6:76:04:3E:D9
tpe_xiaoyi-11,04:E6:76:52:88:DD
tpe_xiaoyi-12,04:E6:76:3C:D2:30
tpe_xiaoyi-13,04:E6:76:09:01:A4
tpe_xiaoyi-14,04:E6:76:0F:03:56
tpe_xiaoyi-15,04:E6:76:3D:19:53
tpe_xiaoyi-16,04:E6:76:0D:0E:E9
tpe_xiaoyi-17,04:E6:76:1D:13:C0
